ts,alert_type,src_ip,dst_ip,details
2025-08-04 20:41:21,DDoS,20.218.159.191,192.168.1.109,"32 sources, 2668 packets → 192.168.1.109 in 14 s"
2025-08-04 12:18:20,Port Scan,219.130.202.109,192.168.1.109,219.130.202.109 scanned 118 ports in 6 s
2025-08-05 03:08:48,SYN Flood,169.96.103.60,192.168.1.109,"SYN flood from 169.96.103.60, 1226 SYN packets in 1 s"
2025-08-05 04:20:21,DoS,180.252.123.192,192.168.1.109,180.252.123.192 sent 1044 packets to 192.168.1.109 in 6 s
2025-08-05 07:08:26,SYN Flood,144.71.175.144,192.168.1.109,"SYN flood from 144.71.175.144, 852 SYN packets in 9 s"
2025-08-04 16:36:27,Port Scan,192.221.120.3,192.168.1.109,192.221.120.3 scanned 148 ports in 5 s
2025-08-04 18:47:33,SYN Flood,192.221.120.3,192.168.1.109,"SYN flood from 192.221.120.3, 637 SYN packets in 8 s"
2025-08-05 05:27:10,SYN Flood,144.71.175.144,192.168.1.109,"SYN flood from 144.71.175.144, 862 SYN packets in 5 s"
2025-08-04 22:48:04,DDoS,20.218.159.191,192.168.1.109,"76 sources, 2001 packets → 192.168.1.109 in 7 s"
2025-08-04 14:31:24,Port Scan,16.59.0.134,192.168.1.109,16.59.0.134 scanned 102 ports in 1 s
2025-08-04 12:47:32,DDoS,219.130.202.109,192.168.1.109,"52 sources, 1242 packets → 192.168.1.109 in 5 s"
2025-08-05 04:54:40,Port Scan,16.59.0.134,192.168.1.109,16.59.0.134 scanned 132 ports in 2 s
2025-08-04 18:41:30,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 90 ports in 2 s
2025-08-05 06:32:08,SYN Flood,169.96.103.60,192.168.1.109,"SYN flood from 169.96.103.60, 1382 SYN packets in 7 s"
2025-08-04 19:25:54,SYN Flood,192.72.98.152,192.168.1.109,"SYN flood from 192.72.98.152, 1058 SYN packets in 3 s"
2025-08-04 20:18:44,DDoS,180.252.123.192,192.168.1.109,"42 sources, 1596 packets → 192.168.1.109 in 13 s"
2025-08-04 14:48:48,SYN Flood,16.59.0.134,192.168.1.109,"SYN flood from 16.59.0.134, 1094 SYN packets in 3 s"
2025-08-05 00:33:19,Port Scan,20.218.159.191,192.168.1.109,20.218.159.191 scanned 132 ports in 1 s
2025-08-04 14:38:29,Port Scan,135.97.14.21,192.168.1.109,135.97.14.21 scanned 53 ports in 6 s
2025-08-05 07:02:49,SYN Flood,192.72.98.152,192.168.1.109,"SYN flood from 192.72.98.152, 1149 SYN packets in 1 s"
2025-08-04 20:08:43,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 87 ports in 9 s
2025-08-05 05:31:12,Port Scan,192.221.120.3,192.168.1.109,192.221.120.3 scanned 71 ports in 4 s
2025-08-05 02:16:04,DDoS,169.96.103.60,192.168.1.109,"93 sources, 1596 packets → 192.168.1.109 in 9 s"
2025-08-05 01:29:19,Port Scan,135.97.14.21,192.168.1.109,135.97.14.21 scanned 66 ports in 9 s
2025-08-04 18:55:32,SYN Flood,192.221.120.3,192.168.1.109,"SYN flood from 192.221.120.3, 999 SYN packets in 5 s"
2025-08-05 06:47:52,SYN Flood,192.221.120.3,192.168.1.109,"SYN flood from 192.221.120.3, 1447 SYN packets in 7 s"
2025-08-05 06:24:52,DoS,20.218.159.191,192.168.1.109,20.218.159.191 sent 1171 packets to 192.168.1.109 in 9 s
2025-08-05 07:27:22,DDoS,188.97.74.179,192.168.1.109,"25 sources, 3979 packets → 192.168.1.109 in 7 s"
2025-08-05 07:12:39,DDoS,188.97.74.179,192.168.1.109,"59 sources, 2306 packets → 192.168.1.109 in 11 s"
2025-08-05 03:05:41,SYN Flood,219.130.202.109,192.168.1.109,"SYN flood from 219.130.202.109, 648 SYN packets in 4 s"
2025-08-05 08:06:25,SYN Flood,219.130.202.109,192.168.1.109,"SYN flood from 219.130.202.109, 1475 SYN packets in 3 s"
2025-08-05 06:44:22,Port Scan,20.218.159.191,192.168.1.109,20.218.159.191 scanned 121 ports in 3 s
2025-08-04 13:18:19,Port Scan,135.97.14.21,192.168.1.109,135.97.14.21 scanned 146 ports in 1 s
2025-08-04 15:10:20,DoS,192.221.120.3,192.168.1.109,192.221.120.3 sent 1609 packets to 192.168.1.109 in 6 s
2025-08-04 23:42:31,Port Scan,135.97.14.21,192.168.1.109,135.97.14.21 scanned 112 ports in 7 s
2025-08-04 21:42:22,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 103 ports in 7 s
2025-08-04 12:32:38,DoS,16.59.0.134,192.168.1.109,16.59.0.134 sent 1055 packets to 192.168.1.109 in 18 s
2025-08-04 11:34:51,DoS,20.218.159.191,192.168.1.109,20.218.159.191 sent 1235 packets to 192.168.1.109 in 14 s
2025-08-05 02:23:49,SYN Flood,188.97.74.179,192.168.1.109,"SYN flood from 188.97.74.179, 907 SYN packets in 4 s"
2025-08-04 17:31:40,DDoS,20.218.159.191,192.168.1.109,"21 sources, 1314 packets → 192.168.1.109 in 19 s"
2025-08-04 12:20:15,SYN Flood,16.59.0.134,192.168.1.109,"SYN flood from 16.59.0.134, 564 SYN packets in 1 s"
2025-08-05 04:40:12,DoS,135.97.14.21,192.168.1.109,135.97.14.21 sent 1051 packets to 192.168.1.109 in 20 s
2025-08-04 13:57:20,DoS,188.97.74.179,192.168.1.109,188.97.74.179 sent 982 packets to 192.168.1.109 in 20 s
2025-08-05 05:19:55,DoS,180.252.123.192,192.168.1.109,180.252.123.192 sent 1292 packets to 192.168.1.109 in 14 s
2025-08-04 19:14:09,SYN Flood,20.218.159.191,192.168.1.109,"SYN flood from 20.218.159.191, 1056 SYN packets in 6 s"
2025-08-05 04:37:28,SYN Flood,20.218.159.191,192.168.1.109,"SYN flood from 20.218.159.191, 1050 SYN packets in 8 s"
2025-08-04 17:09:36,SYN Flood,219.130.202.109,192.168.1.109,"SYN flood from 219.130.202.109, 910 SYN packets in 8 s"
2025-08-05 09:57:37,SYN Flood,188.97.74.179,192.168.1.109,"SYN flood from 188.97.74.179, 553 SYN packets in 3 s"
2025-08-05 09:04:46,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 70 ports in 6 s
2025-08-04 18:26:33,Port Scan,192.221.120.3,192.168.1.109,192.221.120.3 scanned 94 ports in 8 s
2025-08-05 05:20:59,DDoS,180.252.123.192,192.168.1.109,"65 sources, 2076 packets → 192.168.1.109 in 6 s"
2025-08-04 22:25:15,DDoS,192.72.98.152,192.168.1.109,"49 sources, 1986 packets → 192.168.1.109 in 18 s"
2025-08-04 15:03:19,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 130 ports in 10 s
2025-08-04 23:53:23,Port Scan,192.72.98.152,192.168.1.109,192.72.98.152 scanned 107 ports in 10 s
2025-08-04 13:28:00,Port Scan,169.96.103.60,192.168.1.109,169.96.103.60 scanned 81 ports in 1 s
2025-08-04 13:46:11,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 137 ports in 3 s
2025-08-04 13:22:37,SYN Flood,20.218.159.191,192.168.1.109,"SYN flood from 20.218.159.191, 1117 SYN packets in 2 s"
2025-08-04 21:34:06,DDoS,20.218.159.191,192.168.1.109,"30 sources, 2375 packets → 192.168.1.109 in 7 s"
2025-08-04 12:07:55,DDoS,192.221.120.3,192.168.1.109,"96 sources, 4987 packets → 192.168.1.109 in 5 s"
2025-08-04 12:22:34,DDoS,192.221.120.3,192.168.1.109,"43 sources, 3346 packets → 192.168.1.109 in 20 s"
2025-08-05 03:24:37,SYN Flood,144.71.175.144,192.168.1.109,"SYN flood from 144.71.175.144, 826 SYN packets in 8 s"
2025-08-05 04:53:18,DDoS,192.72.98.152,192.168.1.109,"57 sources, 4408 packets → 192.168.1.109 in 6 s"
2025-08-04 18:41:26,DoS,192.72.98.152,192.168.1.109,192.72.98.152 sent 1020 packets to 192.168.1.109 in 5 s
2025-08-04 16:35:58,DDoS,20.218.159.191,192.168.1.109,"96 sources, 2702 packets → 192.168.1.109 in 14 s"
2025-08-05 06:08:59,SYN Flood,169.96.103.60,192.168.1.109,"SYN flood from 169.96.103.60, 1318 SYN packets in 3 s"
2025-08-04 11:55:39,SYN Flood,192.72.98.152,192.168.1.109,"SYN flood from 192.72.98.152, 747 SYN packets in 8 s"
2025-08-04 15:52:30,DDoS,144.71.175.144,192.168.1.109,"23 sources, 2324 packets → 192.168.1.109 in 11 s"
2025-08-05 04:46:14,SYN Flood,219.130.202.109,192.168.1.109,"SYN flood from 219.130.202.109, 1072 SYN packets in 3 s"
2025-08-04 17:04:53,DDoS,169.96.103.60,192.168.1.109,"21 sources, 1025 packets → 192.168.1.109 in 19 s"
2025-08-04 19:59:45,Port Scan,219.130.202.109,192.168.1.109,219.130.202.109 scanned 107 ports in 9 s
2025-08-04 15:46:52,DoS,219.130.202.109,192.168.1.109,219.130.202.109 sent 1647 packets to 192.168.1.109 in 17 s
2025-08-05 05:19:10,DDoS,20.218.159.191,192.168.1.109,"55 sources, 4911 packets → 192.168.1.109 in 19 s"
2025-08-04 23:26:01,DoS,20.218.159.191,192.168.1.109,20.218.159.191 sent 818 packets to 192.168.1.109 in 17 s
2025-08-05 06:35:33,DoS,135.97.14.21,192.168.1.109,135.97.14.21 sent 857 packets to 192.168.1.109 in 13 s
2025-08-05 06:17:35,DoS,180.252.123.192,192.168.1.109,180.252.123.192 sent 1183 packets to 192.168.1.109 in 9 s
2025-08-04 22:05:44,DoS,188.97.74.179,192.168.1.109,188.97.74.179 sent 1648 packets to 192.168.1.109 in 8 s
2025-08-05 04:15:17,DoS,180.252.123.192,192.168.1.109,180.252.123.192 sent 1023 packets to 192.168.1.109 in 7 s
2025-08-05 06:13:41,SYN Flood,192.72.98.152,192.168.1.109,"SYN flood from 192.72.98.152, 985 SYN packets in 7 s"
2025-08-04 15:36:59,SYN Flood,16.59.0.134,192.168.1.109,"SYN flood from 16.59.0.134, 1449 SYN packets in 8 s"
2025-08-04 19:52:43,SYN Flood,188.97.74.179,192.168.1.109,"SYN flood from 188.97.74.179, 1465 SYN packets in 3 s"
2025-08-04 23:14:10,DoS,192.72.98.152,192.168.1.109,192.72.98.152 sent 1714 packets to 192.168.1.109 in 5 s
2025-08-05 09:10:56,SYN Flood,192.221.120.3,192.168.1.109,"SYN flood from 192.221.120.3, 1012 SYN packets in 10 s"
2025-08-05 04:24:18,DoS,219.130.202.109,192.168.1.109,219.130.202.109 sent 1060 packets to 192.168.1.109 in 17 s
2025-08-04 17:57:41,DoS,135.97.14.21,192.168.1.109,135.97.14.21 sent 959 packets to 192.168.1.109 in 19 s
2025-08-04 12:17:50,Port Scan,219.130.202.109,192.168.1.109,219.130.202.109 scanned 67 ports in 2 s
2025-08-04 11:40:37,Port Scan,16.59.0.134,192.168.1.109,16.59.0.134 scanned 66 ports in 9 s
2025-08-04 20:37:26,DDoS,219.130.202.109,192.168.1.109,"94 sources, 2625 packets → 192.168.1.109 in 8 s"
2025-08-05 01:48:46,SYN Flood,192.221.120.3,192.168.1.109,"SYN flood from 192.221.120.3, 1469 SYN packets in 6 s"
2025-08-04 15:09:09,SYN Flood,169.96.103.60,192.168.1.109,"SYN flood from 169.96.103.60, 686 SYN packets in 6 s"
2025-08-04 23:35:11,DoS,135.97.14.21,192.168.1.109,135.97.14.21 sent 917 packets to 192.168.1.109 in 7 s
2025-08-04 19:52:10,DoS,180.252.123.192,192.168.1.109,180.252.123.192 sent 1051 packets to 192.168.1.109 in 14 s
2025-08-04 10:51:43,DoS,192.221.120.3,192.168.1.109,192.221.120.3 sent 1956 packets to 192.168.1.109 in 15 s
2025-08-04 10:41:41,DoS,20.218.159.191,192.168.1.109,20.218.159.191 sent 1253 packets to 192.168.1.109 in 16 s
2025-08-04 16:57:05,DDoS,20.218.159.191,192.168.1.109,"24 sources, 3169 packets → 192.168.1.109 in 16 s"
2025-08-05 08:35:22,Port Scan,20.218.159.191,192.168.1.109,20.218.159.191 scanned 110 ports in 2 s
2025-08-04 11:30:09,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 122 ports in 9 s
2025-08-04 14:29:33,DDoS,219.130.202.109,192.168.1.109,"68 sources, 4240 packets → 192.168.1.109 in 14 s"
2025-08-04 19:15:19,DDoS,20.218.159.191,192.168.1.109,"44 sources, 4516 packets → 192.168.1.109 in 6 s"
2025-08-04 15:07:30,DDoS,20.218.159.191,192.168.1.109,"50 sources, 4244 packets → 192.168.1.109 in 10 s"
2025-08-04 22:18:46,Port Scan,192.72.98.152,192.168.1.109,192.72.98.152 scanned 68 ports in 10 s
2025-08-04 20:53:02,SYN Flood,20.218.159.191,192.168.1.109,"SYN flood from 20.218.159.191, 922 SYN packets in 5 s"
2025-08-04 16:45:53,SYN Flood,219.130.202.109,192.168.1.109,"SYN flood from 219.130.202.109, 1213 SYN packets in 3 s"
2025-08-04 23:30:15,DDoS,20.218.159.191,192.168.1.109,"69 sources, 2851 packets → 192.168.1.109 in 10 s"
2025-08-04 19:26:54,DoS,192.72.98.152,192.168.1.109,192.72.98.152 sent 1353 packets to 192.168.1.109 in 10 s
2025-08-04 15:45:33,DDoS,16.59.0.134,192.168.1.109,"26 sources, 4205 packets → 192.168.1.109 in 11 s"
2025-08-04 15:11:07,DoS,169.96.103.60,192.168.1.109,169.96.103.60 sent 682 packets to 192.168.1.109 in 15 s
2025-08-04 19:36:05,Port Scan,20.218.159.191,192.168.1.109,20.218.159.191 scanned 135 ports in 2 s
2025-08-05 05:55:02,SYN Flood,180.252.123.192,192.168.1.109,"SYN flood from 180.252.123.192, 618 SYN packets in 4 s"
2025-08-05 10:25:39,Port Scan,16.59.0.134,192.168.1.109,16.59.0.134 scanned 73 ports in 10 s
2025-08-04 22:12:39,SYN Flood,192.72.98.152,192.168.1.109,"SYN flood from 192.72.98.152, 1349 SYN packets in 5 s"
2025-08-04 21:04:09,SYN Flood,144.71.175.144,192.168.1.109,"SYN flood from 144.71.175.144, 1345 SYN packets in 10 s"
2025-08-04 16:17:37,Port Scan,16.59.0.134,192.168.1.109,16.59.0.134 scanned 127 ports in 10 s
2025-08-05 05:08:06,DoS,20.218.159.191,192.168.1.109,20.218.159.191 sent 1116 packets to 192.168.1.109 in 6 s
2025-08-04 20:28:25,Port Scan,192.72.98.152,192.168.1.109,192.72.98.152 scanned 124 ports in 2 s
2025-08-05 09:00:31,DoS,16.59.0.134,192.168.1.109,16.59.0.134 sent 571 packets to 192.168.1.109 in 20 s
2025-08-04 13:21:48,SYN Flood,20.218.159.191,192.168.1.109,"SYN flood from 20.218.159.191, 543 SYN packets in 3 s"
2025-08-05 07:51:29,DoS,192.221.120.3,192.168.1.109,192.221.120.3 sent 772 packets to 192.168.1.109 in 5 s
2025-08-04 22:43:46,DDoS,192.72.98.152,192.168.1.109,"60 sources, 1764 packets → 192.168.1.109 in 20 s"
2025-08-04 10:49:43,DDoS,20.218.159.191,192.168.1.109,"28 sources, 3881 packets → 192.168.1.109 in 20 s"
2025-08-04 12:49:07,SYN Flood,192.221.120.3,192.168.1.109,"SYN flood from 192.221.120.3, 1478 SYN packets in 2 s"
2025-08-04 23:16:52,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 108 ports in 9 s
2025-08-05 05:38:47,SYN Flood,135.97.14.21,192.168.1.109,"SYN flood from 135.97.14.21, 1254 SYN packets in 8 s"
2025-08-04 20:47:09,SYN Flood,188.97.74.179,192.168.1.109,"SYN flood from 188.97.74.179, 748 SYN packets in 10 s"
2025-08-05 05:20:58,SYN Flood,135.97.14.21,192.168.1.109,"SYN flood from 135.97.14.21, 1352 SYN packets in 7 s"
2025-08-05 05:45:41,SYN Flood,192.72.98.152,192.168.1.109,"SYN flood from 192.72.98.152, 1306 SYN packets in 3 s"
2025-08-04 20:29:05,Port Scan,192.72.98.152,192.168.1.109,192.72.98.152 scanned 82 ports in 5 s
2025-08-05 04:09:35,Port Scan,219.130.202.109,192.168.1.109,219.130.202.109 scanned 146 ports in 8 s
2025-08-05 10:01:56,DoS,188.97.74.179,192.168.1.109,188.97.74.179 sent 749 packets to 192.168.1.109 in 15 s
2025-08-05 07:03:05,DoS,16.59.0.134,192.168.1.109,16.59.0.134 sent 1910 packets to 192.168.1.109 in 20 s
2025-08-05 00:35:56,DDoS,16.59.0.134,192.168.1.109,"50 sources, 1487 packets → 192.168.1.109 in 20 s"
2025-08-05 08:01:26,DoS,192.72.98.152,192.168.1.109,192.72.98.152 sent 1695 packets to 192.168.1.109 in 17 s
2025-08-04 14:09:36,DoS,16.59.0.134,192.168.1.109,16.59.0.134 sent 1935 packets to 192.168.1.109 in 5 s
2025-08-05 05:03:41,SYN Flood,169.96.103.60,192.168.1.109,"SYN flood from 169.96.103.60, 1272 SYN packets in 1 s"
2025-08-05 05:33:47,DoS,219.130.202.109,192.168.1.109,219.130.202.109 sent 893 packets to 192.168.1.109 in 7 s
2025-08-04 21:01:07,SYN Flood,180.252.123.192,192.168.1.109,"SYN flood from 180.252.123.192, 656 SYN packets in 10 s"
2025-08-04 14:35:21,DDoS,135.97.14.21,192.168.1.109,"64 sources, 1688 packets → 192.168.1.109 in 11 s"
2025-08-04 13:50:20,Port Scan,180.252.123.192,192.168.1.109,180.252.123.192 scanned 66 ports in 4 s
2025-08-05 00:09:41,SYN Flood,180.252.123.192,192.168.1.109,"SYN flood from 180.252.123.192, 716 SYN packets in 9 s"
2025-08-04 18:58:32,DoS,188.97.74.179,192.168.1.109,188.97.74.179 sent 1207 packets to 192.168.1.109 in 12 s
2025-08-05 08:40:48,Port Scan,219.130.202.109,192.168.1.109,219.130.202.109 scanned 85 ports in 10 s
2025-08-04 18:48:00,DDoS,20.218.159.191,192.168.1.109,"29 sources, 1371 packets → 192.168.1.109 in 17 s"
2025-08-05 08:44:51,SYN Flood,20.218.159.191,192.168.1.109,"SYN flood from 20.218.159.191, 503 SYN packets in 3 s"
2025-08-04 22:23:48,DDoS,135.97.14.21,192.168.1.109,"91 sources, 3889 packets → 192.168.1.109 in 9 s"
2025-08-04 14:17:19,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 137 ports in 3 s
2025-08-04 11:55:40,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 68 ports in 3 s
2025-08-05 08:39:02,DDoS,144.71.175.144,192.168.1.109,"28 sources, 1306 packets → 192.168.1.109 in 9 s"
2025-08-04 14:19:13,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 102 ports in 4 s
2025-08-04 13:11:41,Port Scan,16.59.0.134,192.168.1.109,16.59.0.134 scanned 142 ports in 7 s
2025-08-04 22:52:09,DoS,192.72.98.152,192.168.1.109,192.72.98.152 sent 1368 packets to 192.168.1.109 in 16 s
2025-08-05 03:37:38,DDoS,144.71.175.144,192.168.1.109,"78 sources, 1102 packets → 192.168.1.109 in 8 s"
2025-08-04 16:02:27,DDoS,219.130.202.109,192.168.1.109,"46 sources, 1846 packets → 192.168.1.109 in 17 s"
2025-08-04 12:25:23,SYN Flood,192.72.98.152,192.168.1.109,"SYN flood from 192.72.98.152, 1047 SYN packets in 8 s"
2025-08-05 09:33:34,DDoS,20.218.159.191,192.168.1.109,"30 sources, 4583 packets → 192.168.1.109 in 11 s"
2025-08-04 23:38:49,SYN Flood,20.218.159.191,192.168.1.109,"SYN flood from 20.218.159.191, 1485 SYN packets in 8 s"
2025-08-04 14:33:08,DoS,192.221.120.3,192.168.1.109,192.221.120.3 sent 1891 packets to 192.168.1.109 in 7 s
2025-08-05 04:55:54,DoS,188.97.74.179,192.168.1.109,188.97.74.179 sent 620 packets to 192.168.1.109 in 14 s
2025-08-05 07:31:34,Port Scan,169.96.103.60,192.168.1.109,169.96.103.60 scanned 141 ports in 6 s
2025-08-04 15:52:44,Port Scan,16.59.0.134,192.168.1.109,16.59.0.134 scanned 51 ports in 4 s
2025-08-04 17:00:46,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 67 ports in 8 s
2025-08-04 18:25:19,DoS,20.218.159.191,192.168.1.109,20.218.159.191 sent 760 packets to 192.168.1.109 in 14 s
2025-08-04 19:43:37,SYN Flood,188.97.74.179,192.168.1.109,"SYN flood from 188.97.74.179, 1025 SYN packets in 6 s"
2025-08-05 05:01:36,Port Scan,219.130.202.109,192.168.1.109,219.130.202.109 scanned 128 ports in 5 s
2025-08-05 03:47:09,SYN Flood,16.59.0.134,192.168.1.109,"SYN flood from 16.59.0.134, 1055 SYN packets in 8 s"
2025-08-04 13:24:55,Port Scan,20.218.159.191,192.168.1.109,20.218.159.191 scanned 89 ports in 4 s
2025-08-05 09:00:49,DoS,20.218.159.191,192.168.1.109,20.218.159.191 sent 760 packets to 192.168.1.109 in 12 s
2025-08-05 10:14:28,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 119 ports in 5 s
2025-08-05 05:34:44,Port Scan,188.97.74.179,192.168.1.109,188.97.74.179 scanned 105 ports in 5 s
2025-08-05 06:54:13,DDoS,144.71.175.144,192.168.1.109,"38 sources, 1253 packets → 192.168.1.109 in 16 s"
2025-08-04 15:38:18,DDoS,192.72.98.152,192.168.1.109,"69 sources, 1730 packets → 192.168.1.109 in 10 s"
2025-08-05 09:16:12,DoS,219.130.202.109,192.168.1.109,219.130.202.109 sent 976 packets to 192.168.1.109 in 8 s
2025-08-05 03:36:32,SYN Flood,219.130.202.109,192.168.1.109,"SYN flood from 219.130.202.109, 599 SYN packets in 4 s"
2025-08-04 15:35:37,DDoS,144.71.175.144,192.168.1.109,"99 sources, 4805 packets → 192.168.1.109 in 10 s"
2025-08-04 21:44:46,Port Scan,169.96.103.60,192.168.1.109,169.96.103.60 scanned 100 ports in 8 s
2025-08-05 01:29:39,DoS,180.252.123.192,192.168.1.109,180.252.123.192 sent 1961 packets to 192.168.1.109 in 19 s
2025-08-05 05:19:05,DoS,135.97.14.21,192.168.1.109,135.97.14.21 sent 631 packets to 192.168.1.109 in 11 s
2025-08-05 03:13:24,DoS,135.97.14.21,192.168.1.109,135.97.14.21 sent 1330 packets to 192.168.1.109 in 15 s
2025-08-04 23:40:23,DoS,192.72.98.152,192.168.1.109,192.72.98.152 sent 1806 packets to 192.168.1.109 in 17 s
2025-08-05 05:06:39,DoS,169.96.103.60,192.168.1.109,169.96.103.60 sent 984 packets to 192.168.1.109 in 6 s
2025-08-05 09:07:18,Port Scan,180.252.123.192,192.168.1.109,180.252.123.192 scanned 108 ports in 4 s
2025-08-05 00:51:32,SYN Flood,169.96.103.60,192.168.1.109,"SYN flood from 169.96.103.60, 1471 SYN packets in 3 s"
2025-08-05 08:19:04,DoS,192.72.98.152,192.168.1.109,192.72.98.152 sent 1656 packets to 192.168.1.109 in 16 s
2025-08-05 09:24:00,DDoS,169.96.103.60,192.168.1.109,"87 sources, 3404 packets → 192.168.1.109 in 7 s"
2025-08-05 09:14:35,DoS,135.97.14.21,192.168.1.109,135.97.14.21 sent 1523 packets to 192.168.1.109 in 12 s
2025-08-04 10:46:20,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 129 ports in 7 s
2025-08-04 13:46:46,Port Scan,219.130.202.109,192.168.1.109,219.130.202.109 scanned 110 ports in 4 s
2025-08-05 00:25:39,Port Scan,144.71.175.144,192.168.1.109,144.71.175.144 scanned 132 ports in 10 s
2025-08-05 09:49:44,SYN Flood,180.252.123.192,192.168.1.109,"SYN flood from 180.252.123.192, 1353 SYN packets in 7 s"
2025-08-04 22:14:52,DDoS,192.221.120.3,192.168.1.109,"44 sources, 3674 packets → 192.168.1.109 in 19 s"
2025-08-05 02:18:48,SYN Flood,192.72.98.152,192.168.1.109,"SYN flood from 192.72.98.152, 575 SYN packets in 2 s"
2025-08-05 06:45:48,SYN Flood,135.97.14.21,192.168.1.109,"SYN flood from 135.97.14.21, 1103 SYN packets in 10 s"
2025-08-05 03:25:16,DDoS,169.96.103.60,192.168.1.109,"45 sources, 3686 packets → 192.168.1.109 in 9 s"
2025-08-04 15:20:26,DoS,20.218.159.191,192.168.1.109,20.218.159.191 sent 879 packets to 192.168.1.109 in 12 s
2025-08-04 13:50:50,SYN Flood,16.59.0.134,192.168.1.109,"SYN flood from 16.59.0.134, 971 SYN packets in 4 s"
2025-08-05 02:39:41,DDoS,188.97.74.179,192.168.1.109,"79 sources, 1175 packets → 192.168.1.109 in 7 s"
2025-08-05 09:24:45,Port Scan,169.96.103.60,192.168.1.109,169.96.103.60 scanned 64 ports in 5 s
2025-08-04 14:11:55,DoS,144.71.175.144,192.168.1.109,144.71.175.144 sent 1638 packets to 192.168.1.109 in 19 s
2025-08-04 16:05:21,Port Scan,192.72.98.152,192.168.1.109,192.72.98.152 scanned 104 ports in 3 s
2025-08-04 17:34:18,DDoS,144.71.175.144,192.168.1.109,"85 sources, 3590 packets → 192.168.1.109 in 12 s"
2025-08-05 00:23:33,DDoS,144.71.175.144,192.168.1.109,"32 sources, 2470 packets → 192.168.1.109 in 5 s"
2025-08-05 03:10:54,DDoS,188.97.74.179,192.168.1.109,"73 sources, 3954 packets → 192.168.1.109 in 17 s"
2025-08-04 17:01:57,Port Scan,169.96.103.60,192.168.1.109,169.96.103.60 scanned 149 ports in 8 s
