interval_start,interval_end,host_ip,total_packets,incoming_packets,outgoing_packets,unique_src_ips,unique_dst_ports,total_packets_size
2025-08-04 13:03:44.820094,2025-08-04 13:33:44.820094,172.26.238.112,408,232,176,15,13,12680
2025-08-04 13:03:44.820094,2025-08-04 13:33:44.820094,10.232.227.142,258,122,136,1,19,12194
2025-08-04 13:03:44.820094,2025-08-04 13:33:44.820094,172.27.110.34,338,211,127,14,9,2477
2025-08-04 13:33:44.820094,2025-08-04 14:03:44.820094,172.26.59.245,159,101,58,6,3,7711
2025-08-04 13:33:44.820094,2025-08-04 14:03:44.820094,10.5.75.137,161,92,69,9,13,3608
2025-08-04 13:33:44.820094,2025-08-04 14:03:44.820094,172.26.238.112,152,93,59,2,19,2086
2025-08-04 13:33:44.820094,2025-08-04 14:03:44.820094,10.232.227.142,72,61,11,13,17,5941
2025-08-04 13:33:44.820094,2025-08-04 14:03:44.820094,172.27.110.34,237,166,71,13,10,106
2025-08-04 14:03:44.820094,2025-08-04 14:33:44.820094,172.26.59.245,307,104,203,8,10,14120
2025-08-04 14:03:44.820094,2025-08-04 14:33:44.820094,10.5.75.137,321,92,229,16,3,8112
2025-08-04 14:03:44.820094,2025-08-04 14:33:44.820094,172.26.238.112,486,124,362,10,15,4767
2025-08-04 14:03:44.820094,2025-08-04 14:33:44.820094,10.232.227.142,263,213,50,2,12,14728
2025-08-04 14:03:44.820094,2025-08-04 14:33:44.820094,172.27.110.34,76,48,28,16,0,12443
2025-08-04 14:33:44.820094,2025-08-04 15:03:44.820094,172.26.59.245,353,12,341,9,4,2464
2025-08-04 14:33:44.820094,2025-08-04 15:03:44.820094,10.5.75.137,305,281,24,12,14,8245
2025-08-04 14:33:44.820094,2025-08-04 15:03:44.820094,172.26.238.112,44,44,0,16,15,4569
2025-08-04 14:33:44.820094,2025-08-04 15:03:44.820094,10.232.227.142,457,222,235,3,0,10790
2025-08-04 14:33:44.820094,2025-08-04 15:03:44.820094,172.27.110.34,148,132,16,14,14,7661
2025-08-04 15:03:44.820094,2025-08-04 15:33:44.820094,172.26.59.245,462,270,192,2,2,9106
2025-08-04 15:03:44.820094,2025-08-04 15:33:44.820094,10.5.75.137,117,88,29,17,4,3274
2025-08-04 15:03:44.820094,2025-08-04 15:33:44.820094,172.26.238.112,422,137,285,4,19,3064
2025-08-04 15:03:44.820094,2025-08-04 15:33:44.820094,10.232.227.142,363,0,363,2,4,12800
2025-08-04 15:03:44.820094,2025-08-04 15:33:44.820094,172.27.110.34,435,200,235,7,18,5236
2025-08-04 15:33:44.820094,2025-08-04 16:03:44.820094,172.26.59.245,221,60,161,9,7,1369
2025-08-04 15:33:44.820094,2025-08-04 16:03:44.820094,10.5.75.137,319,218,101,19,13,11579
2025-08-04 15:33:44.820094,2025-08-04 16:03:44.820094,172.26.238.112,466,264,202,4,12,1592
2025-08-04 15:33:44.820094,2025-08-04 16:03:44.820094,10.232.227.142,356,242,114,2,13,3133
2025-08-04 15:33:44.820094,2025-08-04 16:03:44.820094,172.27.110.34,147,88,59,15,9,12757
2025-08-04 16:03:44.820094,2025-08-04 16:33:44.820094,172.26.59.245,399,238,161,2,5,5984
2025-08-04 16:03:44.820094,2025-08-04 16:33:44.820094,10.5.75.137,179,67,112,4,20,1510
2025-08-04 16:03:44.820094,2025-08-04 16:33:44.820094,172.26.238.112,270,27,243,12,16,12520
2025-08-04 16:03:44.820094,2025-08-04 16:33:44.820094,10.232.227.142,322,213,109,11,10,4416
2025-08-04 16:03:44.820094,2025-08-04 16:33:44.820094,172.27.110.34,227,126,101,3,7,10937
2025-08-04 16:33:44.820094,2025-08-04 17:03:44.820094,172.26.59.245,342,7,335,4,18,5161
2025-08-04 16:33:44.820094,2025-08-04 17:03:44.820094,10.5.75.137,250,213,37,13,18,13255
2025-08-04 16:33:44.820094,2025-08-04 17:03:44.820094,172.26.238.112,5,0,5,13,14,4081
2025-08-04 16:33:44.820094,2025-08-04 17:03:44.820094,10.232.227.142,387,48,339,6,20,10858
2025-08-04 16:33:44.820094,2025-08-04 17:03:44.820094,172.27.110.34,176,77,99,7,18,7379
2025-08-04 17:03:44.820094,2025-08-04 17:33:44.820094,172.26.59.245,367,259,108,17,9,14367
2025-08-04 17:03:44.820094,2025-08-04 17:33:44.820094,10.5.75.137,288,263,25,4,5,10251
2025-08-04 17:03:44.820094,2025-08-04 17:33:44.820094,172.26.238.112,458,334,124,16,6,8903
2025-08-04 17:03:44.820094,2025-08-04 17:33:44.820094,10.232.227.142,181,1,180,13,18,13911
2025-08-04 17:03:44.820094,2025-08-04 17:33:44.820094,172.27.110.34,8,2,6,9,5,10995
2025-08-04 17:33:44.820094,2025-08-04 18:03:44.820094,172.26.59.245,238,220,18,8,3,11917
2025-08-04 17:33:44.820094,2025-08-04 18:03:44.820094,10.5.75.137,500,305,195,3,17,3442
2025-08-04 17:33:44.820094,2025-08-04 18:03:44.820094,172.26.238.112,92,16,76,10,7,8135
2025-08-04 17:33:44.820094,2025-08-04 18:03:44.820094,10.232.227.142,253,27,226,20,2,9796
2025-08-04 17:33:44.820094,2025-08-04 18:03:44.820094,172.27.110.34,16,15,1,6,12,4174
2025-08-04 18:03:44.820094,2025-08-04 18:33:44.820094,172.26.59.245,43,17,26,5,6,10611
2025-08-04 18:03:44.820094,2025-08-04 18:33:44.820094,10.5.75.137,416,293,123,14,5,12699
2025-08-04 18:03:44.820094,2025-08-04 18:33:44.820094,172.26.238.112,450,175,275,13,20,10265
2025-08-04 18:03:44.820094,2025-08-04 18:33:44.820094,10.232.227.142,29,4,25,14,2,13965
2025-08-04 18:03:44.820094,2025-08-04 18:33:44.820094,172.27.110.34,231,214,17,17,19,9537
2025-08-04 18:33:44.820094,2025-08-04 19:03:44.820094,172.26.59.245,104,62,42,2,11,11162
2025-08-04 18:33:44.820094,2025-08-04 19:03:44.820094,10.5.75.137,224,48,176,14,3,8921
2025-08-04 18:33:44.820094,2025-08-04 19:03:44.820094,172.26.238.112,253,224,29,13,11,2531
2025-08-04 18:33:44.820094,2025-08-04 19:03:44.820094,10.232.227.142,296,132,164,3,4,10763
2025-08-04 18:33:44.820094,2025-08-04 19:03:44.820094,172.27.110.34,145,9,136,5,2,11228
2025-08-04 19:03:44.820094,2025-08-04 19:33:44.820094,172.26.59.245,60,38,22,11,10,11454
2025-08-04 19:03:44.820094,2025-08-04 19:33:44.820094,10.5.75.137,188,23,165,16,20,8791
2025-08-04 19:03:44.820094,2025-08-04 19:33:44.820094,172.26.238.112,495,165,330,8,0,2191
2025-08-04 19:03:44.820094,2025-08-04 19:33:44.820094,10.232.227.142,112,5,107,8,6,12572
2025-08-04 19:03:44.820094,2025-08-04 19:33:44.820094,172.27.110.34,283,11,272,20,4,8678
2025-08-04 19:33:44.820094,2025-08-04 20:03:44.820094,172.26.59.245,209,45,164,5,16,4060
2025-08-04 19:33:44.820094,2025-08-04 20:03:44.820094,10.5.75.137,179,165,14,12,14,9170
2025-08-04 19:33:44.820094,2025-08-04 20:03:44.820094,172.26.238.112,348,237,111,2,8,9135
2025-08-04 19:33:44.820094,2025-08-04 20:03:44.820094,10.232.227.142,254,216,38,2,5,4777
2025-08-04 19:33:44.820094,2025-08-04 20:03:44.820094,172.27.110.34,418,70,348,15,3,8279
2025-08-04 20:03:44.820094,2025-08-04 20:33:44.820094,172.26.59.245,184,131,53,20,8,3815
2025-08-04 20:03:44.820094,2025-08-04 20:33:44.820094,10.5.75.137,365,214,151,2,8,2189
2025-08-04 20:03:44.820094,2025-08-04 20:33:44.820094,172.26.238.112,178,145,33,12,14,14177
2025-08-04 20:03:44.820094,2025-08-04 20:33:44.820094,10.232.227.142,467,105,362,5,6,3999
2025-08-04 20:03:44.820094,2025-08-04 20:33:44.820094,172.27.110.34,142,53,89,12,2,13270
2025-08-04 20:33:44.820094,2025-08-04 21:03:44.820094,172.26.59.245,161,126,35,14,2,14391
2025-08-04 20:33:44.820094,2025-08-04 21:03:44.820094,10.5.75.137,387,98,289,12,8,14381
2025-08-04 20:33:44.820094,2025-08-04 21:03:44.820094,172.26.238.112,195,14,181,9,8,3595
2025-08-04 20:33:44.820094,2025-08-04 21:03:44.820094,10.232.227.142,86,33,53,14,15,5058
2025-08-04 20:33:44.820094,2025-08-04 21:03:44.820094,172.27.110.34,7,5,2,15,13,3865
2025-08-04 21:03:44.820094,2025-08-04 21:33:44.820094,172.26.59.245,272,145,127,16,11,10259
2025-08-04 21:03:44.820094,2025-08-04 21:33:44.820094,10.5.75.137,304,198,106,7,20,10062
2025-08-04 21:03:44.820094,2025-08-04 21:33:44.820094,172.26.238.112,96,1,95,16,4,13030
2025-08-04 21:03:44.820094,2025-08-04 21:33:44.820094,10.232.227.142,385,136,249,12,20,411
2025-08-04 21:03:44.820094,2025-08-04 21:33:44.820094,172.27.110.34,411,410,1,4,16,1434
2025-08-04 21:33:44.820094,2025-08-04 22:03:44.820094,172.26.59.245,492,130,362,16,11,9547
2025-08-04 21:33:44.820094,2025-08-04 22:03:44.820094,10.5.75.137,114,63,51,2,6,3541
2025-08-04 21:33:44.820094,2025-08-04 22:03:44.820094,172.26.238.112,467,332,135,9,19,11182
2025-08-04 21:33:44.820094,2025-08-04 22:03:44.820094,10.232.227.142,139,86,53,13,0,10962
2025-08-04 21:33:44.820094,2025-08-04 22:03:44.820094,172.27.110.34,359,265,94,15,1,1700
2025-08-04 22:03:44.820094,2025-08-04 22:33:44.820094,172.26.59.245,34,17,17,9,6,9223
2025-08-04 22:03:44.820094,2025-08-04 22:33:44.820094,10.5.75.137,318,95,223,13,8,14930
2025-08-04 22:03:44.820094,2025-08-04 22:33:44.820094,172.26.238.112,355,59,296,19,13,1592
2025-08-04 22:03:44.820094,2025-08-04 22:33:44.820094,10.232.227.142,70,23,47,16,18,10044
2025-08-04 22:03:44.820094,2025-08-04 22:33:44.820094,172.27.110.34,285,29,256,11,11,4650
2025-08-04 22:33:44.820094,2025-08-04 23:03:44.820094,172.26.59.245,289,180,109,17,2,8189
2025-08-04 22:33:44.820094,2025-08-04 23:03:44.820094,10.5.75.137,60,23,37,3,0,13724
2025-08-04 22:33:44.820094,2025-08-04 23:03:44.820094,172.26.238.112,439,299,140,16,2,12799
2025-08-04 22:33:44.820094,2025-08-04 23:03:44.820094,10.232.227.142,103,39,64,20,18,11957
2025-08-04 22:33:44.820094,2025-08-04 23:03:44.820094,172.27.110.34,9,2,7,19,3,12013
2025-08-04 23:03:44.820094,2025-08-04 23:33:44.820094,172.26.59.245,60,19,41,20,1,1621
2025-08-04 23:03:44.820094,2025-08-04 23:33:44.820094,10.5.75.137,96,26,70,14,4,14211
2025-08-04 23:03:44.820094,2025-08-04 23:33:44.820094,172.26.238.112,37,25,12,15,14,14628
2025-08-04 23:03:44.820094,2025-08-04 23:33:44.820094,10.232.227.142,211,88,123,19,1,5048
2025-08-04 23:03:44.820094,2025-08-04 23:33:44.820094,172.27.110.34,62,2,60,1,18,7571
2025-08-04 23:33:44.820094,2025-08-05 00:03:44.820094,172.26.59.245,216,165,51,9,20,6897
2025-08-04 23:33:44.820094,2025-08-05 00:03:44.820094,10.5.75.137,188,64,124,6,20,848
2025-08-04 23:33:44.820094,2025-08-05 00:03:44.820094,172.26.238.112,413,220,193,20,7,8528
2025-08-04 23:33:44.820094,2025-08-05 00:03:44.820094,10.232.227.142,436,102,334,5,5,5445
2025-08-04 23:33:44.820094,2025-08-05 00:03:44.820094,172.27.110.34,228,88,140,14,2,14292
2025-08-05 00:03:44.820094,2025-08-05 00:33:44.820094,172.26.59.245,32,7,25,16,10,5111
2025-08-05 00:03:44.820094,2025-08-05 00:33:44.820094,10.5.75.137,343,46,297,6,20,8444
2025-08-05 00:03:44.820094,2025-08-05 00:33:44.820094,172.26.238.112,347,192,155,14,13,1477
2025-08-05 00:03:44.820094,2025-08-05 00:33:44.820094,10.232.227.142,301,95,206,1,2,413
2025-08-05 00:03:44.820094,2025-08-05 00:33:44.820094,172.27.110.34,9,4,5,3,15,11137
2025-08-05 00:33:44.820094,2025-08-05 01:03:44.820094,172.26.59.245,196,20,176,13,17,4758
2025-08-05 00:33:44.820094,2025-08-05 01:03:44.820094,10.5.75.137,209,153,56,16,19,294
2025-08-05 00:33:44.820094,2025-08-05 01:03:44.820094,172.26.238.112,230,186,44,7,14,4701
2025-08-05 00:33:44.820094,2025-08-05 01:03:44.820094,10.232.227.142,457,136,321,2,8,12860
2025-08-05 00:33:44.820094,2025-08-05 01:03:44.820094,172.27.110.34,419,293,126,4,11,2973
2025-08-05 01:03:44.820094,2025-08-05 01:33:44.820094,172.26.59.245,307,52,255,17,14,9214
2025-08-05 01:03:44.820094,2025-08-05 01:33:44.820094,10.5.75.137,138,8,130,15,10,11625
2025-08-05 01:03:44.820094,2025-08-05 01:33:44.820094,172.26.238.112,61,58,3,4,6,9356
2025-08-05 01:03:44.820094,2025-08-05 01:33:44.820094,10.232.227.142,331,23,308,9,10,3860
2025-08-05 01:03:44.820094,2025-08-05 01:33:44.820094,172.27.110.34,38,7,31,7,4,14530
2025-08-05 01:33:44.820094,2025-08-05 02:03:44.820094,172.26.59.245,485,124,361,17,3,2911
2025-08-05 01:33:44.820094,2025-08-05 02:03:44.820094,10.5.75.137,370,88,282,2,0,12987
2025-08-05 01:33:44.820094,2025-08-05 02:03:44.820094,172.26.238.112,245,74,171,6,5,11204
2025-08-05 01:33:44.820094,2025-08-05 02:03:44.820094,10.232.227.142,136,77,59,4,17,14618
2025-08-05 01:33:44.820094,2025-08-05 02:03:44.820094,172.27.110.34,85,3,82,19,6,6720
2025-08-05 02:03:44.820094,2025-08-05 02:33:44.820094,172.26.59.245,136,107,29,17,11,11403
2025-08-05 02:03:44.820094,2025-08-05 02:33:44.820094,10.5.75.137,422,353,69,6,7,9272
2025-08-05 02:03:44.820094,2025-08-05 02:33:44.820094,172.26.238.112,42,21,21,16,12,6205
2025-08-05 02:03:44.820094,2025-08-05 02:33:44.820094,10.232.227.142,171,161,10,18,4,7867
2025-08-05 02:03:44.820094,2025-08-05 02:33:44.820094,172.27.110.34,404,43,361,19,18,7786
2025-08-05 02:33:44.820094,2025-08-05 03:03:44.820094,172.26.59.245,257,254,3,15,12,4715
2025-08-05 02:33:44.820094,2025-08-05 03:03:44.820094,10.5.75.137,112,95,17,11,11,5766
2025-08-05 02:33:44.820094,2025-08-05 03:03:44.820094,172.26.238.112,125,76,49,17,13,9572
2025-08-05 02:33:44.820094,2025-08-05 03:03:44.820094,10.232.227.142,409,145,264,20,19,14415
2025-08-05 02:33:44.820094,2025-08-05 03:03:44.820094,172.27.110.34,76,20,56,14,6,1284
2025-08-05 03:03:44.820094,2025-08-05 03:33:44.820094,172.26.59.245,387,228,159,16,7,8668
2025-08-05 03:03:44.820094,2025-08-05 03:33:44.820094,10.5.75.137,429,307,122,13,19,4466
2025-08-05 03:03:44.820094,2025-08-05 03:33:44.820094,172.26.238.112,225,99,126,5,4,183
2025-08-05 03:03:44.820094,2025-08-05 03:33:44.820094,10.232.227.142,259,206,53,17,15,7847
2025-08-05 03:03:44.820094,2025-08-05 03:33:44.820094,172.27.110.34,382,265,117,7,6,6942
2025-08-05 03:33:44.820094,2025-08-05 04:03:44.820094,172.26.59.245,236,147,89,2,14,1333
2025-08-05 03:33:44.820094,2025-08-05 04:03:44.820094,10.5.75.137,467,138,329,13,2,2404
2025-08-05 03:33:44.820094,2025-08-05 04:03:44.820094,172.26.238.112,237,1,236,18,11,1093
2025-08-05 03:33:44.820094,2025-08-05 04:03:44.820094,10.232.227.142,450,192,258,16,1,14967
2025-08-05 03:33:44.820094,2025-08-05 04:03:44.820094,172.27.110.34,261,237,24,19,1,3976
2025-08-05 04:03:44.820094,2025-08-05 04:33:44.820094,172.26.59.245,374,319,55,18,17,13061
2025-08-05 04:03:44.820094,2025-08-05 04:33:44.820094,10.5.75.137,258,177,81,16,4,4011
2025-08-05 04:03:44.820094,2025-08-05 04:33:44.820094,172.26.238.112,268,60,208,3,18,966
2025-08-05 04:03:44.820094,2025-08-05 04:33:44.820094,10.232.227.142,31,2,29,13,16,5646
2025-08-05 04:03:44.820094,2025-08-05 04:33:44.820094,172.27.110.34,305,142,163,3,6,1011
2025-08-05 04:33:44.820094,2025-08-05 05:03:44.820094,172.26.59.245,443,327,116,20,4,14701
2025-08-05 04:33:44.820094,2025-08-05 05:03:44.820094,10.5.75.137,496,156,340,16,2,10226
2025-08-05 04:33:44.820094,2025-08-05 05:03:44.820094,172.26.238.112,344,167,177,14,6,2868
2025-08-05 04:33:44.820094,2025-08-05 05:03:44.820094,10.232.227.142,304,37,267,15,5,13847
2025-08-05 04:33:44.820094,2025-08-05 05:03:44.820094,172.27.110.34,486,223,263,9,0,5143
2025-08-05 05:03:44.820094,2025-08-05 05:33:44.820094,172.26.59.245,195,172,23,14,18,10631
2025-08-05 05:03:44.820094,2025-08-05 05:33:44.820094,10.5.75.137,251,190,61,18,20,3181
2025-08-05 05:03:44.820094,2025-08-05 05:33:44.820094,172.26.238.112,269,49,220,11,7,3697
2025-08-05 05:03:44.820094,2025-08-05 05:33:44.820094,10.232.227.142,310,207,103,8,6,8440
2025-08-05 05:03:44.820094,2025-08-05 05:33:44.820094,172.27.110.34,271,48,223,6,14,9320
2025-08-05 05:33:44.820094,2025-08-05 06:03:44.820094,172.26.59.245,109,49,60,12,17,2612
2025-08-05 05:33:44.820094,2025-08-05 06:03:44.820094,10.5.75.137,45,37,8,19,19,14535
2025-08-05 05:33:44.820094,2025-08-05 06:03:44.820094,172.26.238.112,376,201,175,5,16,6437
2025-08-05 05:33:44.820094,2025-08-05 06:03:44.820094,10.232.227.142,206,153,53,10,11,12464
2025-08-05 05:33:44.820094,2025-08-05 06:03:44.820094,172.27.110.34,393,65,328,14,8,12945
2025-08-05 06:03:44.820094,2025-08-05 06:33:44.820094,172.26.59.245,239,36,203,8,1,13418
2025-08-05 06:03:44.820094,2025-08-05 06:33:44.820094,10.5.75.137,494,288,206,12,5,4708
2025-08-05 06:03:44.820094,2025-08-05 06:33:44.820094,172.26.238.112,127,13,114,18,0,11895
2025-08-05 06:03:44.820094,2025-08-05 06:33:44.820094,10.232.227.142,469,382,87,7,15,12563
2025-08-05 06:03:44.820094,2025-08-05 06:33:44.820094,172.27.110.34,434,357,77,9,4,962
2025-08-05 06:33:44.820094,2025-08-05 07:03:44.820094,172.26.59.245,465,358,107,1,1,1953
2025-08-05 06:33:44.820094,2025-08-05 07:03:44.820094,10.5.75.137,280,93,187,11,20,8759
2025-08-05 06:33:44.820094,2025-08-05 07:03:44.820094,172.26.238.112,456,440,16,7,16,12324
2025-08-05 06:33:44.820094,2025-08-05 07:03:44.820094,10.232.227.142,34,15,19,8,19,696
2025-08-05 06:33:44.820094,2025-08-05 07:03:44.820094,172.27.110.34,59,33,26,16,14,8017
2025-08-05 07:03:44.820094,2025-08-05 07:33:44.820094,172.26.59.245,175,37,138,17,20,2523
2025-08-05 07:03:44.820094,2025-08-05 07:33:44.820094,10.5.75.137,417,308,109,1,0,9244
2025-08-05 07:03:44.820094,2025-08-05 07:33:44.820094,172.26.238.112,24,0,24,5,20,11542
2025-08-05 07:03:44.820094,2025-08-05 07:33:44.820094,10.232.227.142,485,177,308,20,13,13699
2025-08-05 07:03:44.820094,2025-08-05 07:33:44.820094,172.27.110.34,39,27,12,4,14,7246
2025-08-05 07:33:44.820094,2025-08-05 08:03:44.820094,172.26.59.245,11,4,7,6,18,4568
2025-08-05 07:33:44.820094,2025-08-05 08:03:44.820094,10.5.75.137,283,153,130,10,9,14864
2025-08-05 07:33:44.820094,2025-08-05 08:03:44.820094,172.26.238.112,121,5,116,20,12,6944
2025-08-05 07:33:44.820094,2025-08-05 08:03:44.820094,10.232.227.142,94,12,82,11,13,8918
2025-08-05 07:33:44.820094,2025-08-05 08:03:44.820094,172.27.110.34,208,174,34,15,14,1382
2025-08-05 08:03:44.820094,2025-08-05 08:33:44.820094,172.26.59.245,19,0,19,18,18,14140
2025-08-05 08:03:44.820094,2025-08-05 08:33:44.820094,10.5.75.137,234,208,26,3,0,8749
2025-08-05 08:03:44.820094,2025-08-05 08:33:44.820094,172.26.238.112,396,53,343,9,20,5342
2025-08-05 08:03:44.820094,2025-08-05 08:33:44.820094,10.232.227.142,275,188,87,15,6,5202
2025-08-05 08:03:44.820094,2025-08-05 08:33:44.820094,172.27.110.34,466,32,434,13,19,1731
2025-08-05 08:33:44.820094,2025-08-05 09:03:44.820094,172.26.59.245,199,162,37,18,0,9442
2025-08-05 08:33:44.820094,2025-08-05 09:03:44.820094,10.5.75.137,374,307,67,11,17,2693
2025-08-05 08:33:44.820094,2025-08-05 09:03:44.820094,172.26.238.112,168,6,162,9,8,4549
2025-08-05 08:33:44.820094,2025-08-05 09:03:44.820094,10.232.227.142,269,135,134,15,8,14122
2025-08-05 08:33:44.820094,2025-08-05 09:03:44.820094,172.27.110.34,496,359,137,20,8,13368
2025-08-05 09:03:44.820094,2025-08-05 09:33:44.820094,172.26.59.245,479,219,260,15,1,6067
2025-08-05 09:03:44.820094,2025-08-05 09:33:44.820094,10.5.75.137,471,457,14,9,19,4223
2025-08-05 09:03:44.820094,2025-08-05 09:33:44.820094,172.26.238.112,371,357,14,19,12,346
2025-08-05 09:03:44.820094,2025-08-05 09:33:44.820094,10.232.227.142,333,262,71,7,2,10804
2025-08-05 09:03:44.820094,2025-08-05 09:33:44.820094,172.27.110.34,465,329,136,15,8,9357
2025-08-05 09:33:44.820094,2025-08-05 10:03:44.820094,172.26.59.245,9,5,4,2,5,6568
2025-08-05 09:33:44.820094,2025-08-05 10:03:44.820094,10.5.75.137,468,318,150,5,19,13343
2025-08-05 09:33:44.820094,2025-08-05 10:03:44.820094,172.26.238.112,30,17,13,18,4,4550
2025-08-05 09:33:44.820094,2025-08-05 10:03:44.820094,10.232.227.142,162,2,160,16,19,1888
2025-08-05 09:33:44.820094,2025-08-05 10:03:44.820094,172.27.110.34,110,12,98,20,6,13470
2025-08-05 10:03:44.820094,2025-08-05 10:33:44.820094,172.26.59.245,462,1,461,6,20,4348
2025-08-05 10:03:44.820094,2025-08-05 10:33:44.820094,10.5.75.137,394,49,345,15,5,3006
2025-08-05 10:03:44.820094,2025-08-05 10:33:44.820094,172.26.238.112,94,77,17,12,16,4326
2025-08-05 10:03:44.820094,2025-08-05 10:33:44.820094,10.232.227.142,430,68,362,16,6,6587
2025-08-05 10:03:44.820094,2025-08-05 10:33:44.820094,172.27.110.34,424,401,23,15,0,10833
