ts,alert_type,src_ip,dst_ip,details,model_name
2025-08-07 20:20:35,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 1272 SYN packets in 7 s",Linear SVM
2025-08-07 04:15:04,DDoS,199.41.115.196,192.168.1.109,"68 sources, 2084 packets → 192.168.1.109 in 19 s",Decision Tree
2025-08-07 12:02:44,Port Scan,121.40.229.158,192.168.1.109,121.40.229.158 scanned 60 ports in 4 s,Random Forest
2025-08-08 01:46:06,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 1433 SYN packets in 5 s",Random Forest
2025-08-06 21:33:20,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1574 packets to 192.168.1.109 in 5 s,Decision Tree
2025-08-07 15:52:04,Port Scan,171.128.117.50,192.168.1.109,171.128.117.50 scanned 51 ports in 8 s,Decision Tree
2025-08-07 12:00:02,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 106 ports in 5 s,Decision Tree
2025-08-07 06:00:51,DDoS,160.131.131.225,192.168.1.109,"92 sources, 1642 packets → 192.168.1.109 in 18 s",Linear SVM
2025-08-07 00:52:58,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 75 ports in 9 s,Random Forest
2025-08-07 16:27:12,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 1101 SYN packets in 1 s",Random Forest
2025-08-07 14:57:46,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1028 packets to 192.168.1.109 in 13 s,Linear SVM
2025-08-07 15:19:10,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 1620 packets to 192.168.1.109 in 19 s,Decision Tree
2025-08-07 18:28:24,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 1008 SYN packets in 3 s",Random Forest
2025-08-06 21:47:02,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 1081 SYN packets in 8 s",Decision Tree
2025-08-08 04:05:25,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1956 packets to 192.168.1.109 in 16 s,Decision Tree
2025-08-07 04:13:32,DoS,199.41.115.196,192.168.1.109,199.41.115.196 sent 1262 packets to 192.168.1.109 in 15 s,Random Forest
2025-08-07 16:24:19,DoS,173.104.27.33,192.168.1.109,173.104.27.33 sent 860 packets to 192.168.1.109 in 19 s,Decision Tree
2025-08-08 10:57:12,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 586 packets to 192.168.1.109 in 17 s,Decision Tree
2025-08-08 15:33:09,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 814 packets to 192.168.1.109 in 10 s,Decision Tree
2025-08-06 19:50:51,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 101 ports in 6 s,Random Forest
2025-08-07 20:44:25,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 1208 SYN packets in 1 s",Random Forest
2025-08-06 21:44:28,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 1411 SYN packets in 3 s",Random Forest
2025-08-08 10:35:11,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 85 ports in 3 s,Random Forest
2025-08-08 00:49:27,DDoS,106.238.102.25,192.168.1.109,"51 sources, 2964 packets → 192.168.1.109 in 8 s",Random Forest
2025-08-07 16:02:23,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 1076 SYN packets in 1 s",Random Forest
2025-08-08 13:18:15,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 68 ports in 5 s,Random Forest
2025-08-06 21:42:37,DDoS,207.106.9.199,192.168.1.109,"77 sources, 4316 packets → 192.168.1.109 in 8 s",Decision Tree
2025-08-06 23:12:07,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 130 ports in 4 s,Linear SVM
2025-08-07 02:35:39,DDoS,106.238.102.25,192.168.1.109,"85 sources, 1784 packets → 192.168.1.109 in 5 s",Linear SVM
2025-08-07 20:11:32,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1771 packets to 192.168.1.109 in 8 s,Random Forest
2025-08-07 14:48:37,DDoS,102.122.195.70,192.168.1.109,"33 sources, 2742 packets → 192.168.1.109 in 13 s",Decision Tree
2025-08-07 21:43:53,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 981 SYN packets in 1 s",Linear SVM
2025-08-07 22:09:26,SYN Flood,207.106.9.199,192.168.1.109,"SYN flood from 207.106.9.199, 812 SYN packets in 10 s",Random Forest
2025-08-07 15:27:56,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 1063 SYN packets in 8 s",Linear SVM
2025-08-08 01:14:11,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 1063 SYN packets in 1 s",Decision Tree
2025-08-08 02:36:14,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 781 SYN packets in 3 s",Linear SVM
2025-08-08 00:09:10,DoS,171.128.117.50,192.168.1.109,171.128.117.50 sent 1656 packets to 192.168.1.109 in 7 s,Random Forest
2025-08-06 20:18:04,Port Scan,171.128.117.50,192.168.1.109,171.128.117.50 scanned 63 ports in 1 s,Linear SVM
2025-08-06 20:26:17,DDoS,106.238.102.25,192.168.1.109,"100 sources, 1987 packets → 192.168.1.109 in 6 s",Random Forest
2025-08-07 07:49:07,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 581 packets to 192.168.1.109 in 11 s,Linear SVM
2025-08-06 19:55:34,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 79 ports in 10 s,Linear SVM
2025-08-08 09:50:35,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 903 SYN packets in 1 s",Decision Tree
2025-08-08 08:13:38,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 58 ports in 1 s,Random Forest
2025-08-08 16:41:09,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 739 packets to 192.168.1.109 in 18 s,Random Forest
2025-08-07 01:51:05,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 1472 SYN packets in 7 s",Linear SVM
2025-08-07 05:34:25,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 64 ports in 5 s,Linear SVM
2025-08-08 05:34:14,DDoS,121.40.229.158,192.168.1.109,"78 sources, 2244 packets → 192.168.1.109 in 14 s",Random Forest
2025-08-07 14:07:26,Port Scan,116.17.206.208,192.168.1.109,116.17.206.208 scanned 63 ports in 4 s,Decision Tree
2025-08-07 01:45:57,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 133 ports in 10 s,Decision Tree
2025-08-07 07:52:31,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 880 packets to 192.168.1.109 in 13 s,Linear SVM
2025-08-07 18:11:14,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 1045 SYN packets in 3 s",Linear SVM
2025-08-06 22:37:20,DDoS,121.40.229.158,192.168.1.109,"69 sources, 2642 packets → 192.168.1.109 in 13 s",Decision Tree
2025-08-08 03:08:29,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 68 ports in 8 s,Decision Tree
2025-08-08 15:41:48,DDoS,102.122.195.70,192.168.1.109,"89 sources, 4437 packets → 192.168.1.109 in 19 s",Random Forest
2025-08-07 00:04:31,DDoS,116.17.206.208,192.168.1.109,"81 sources, 3366 packets → 192.168.1.109 in 18 s",Linear SVM
2025-08-08 00:32:34,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 1116 SYN packets in 10 s",Random Forest
2025-08-06 20:09:31,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 791 SYN packets in 2 s",Decision Tree
2025-08-07 12:56:18,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 1070 SYN packets in 4 s",Decision Tree
2025-08-08 11:02:36,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 125 ports in 4 s,Decision Tree
2025-08-07 18:30:40,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1905 packets to 192.168.1.109 in 12 s,Decision Tree
2025-08-08 18:41:59,DDoS,207.106.9.199,192.168.1.109,"86 sources, 4889 packets → 192.168.1.109 in 10 s",Linear SVM
2025-08-08 09:08:59,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 1215 SYN packets in 7 s",Linear SVM
2025-08-07 22:45:11,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 716 SYN packets in 6 s",Random Forest
2025-08-07 17:07:31,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 117 ports in 9 s,Linear SVM
2025-08-06 22:55:15,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 1252 SYN packets in 10 s",Decision Tree
2025-08-08 12:30:03,DDoS,207.106.9.199,192.168.1.109,"24 sources, 4985 packets → 192.168.1.109 in 10 s",Linear SVM
2025-08-08 14:19:28,DDoS,171.128.117.50,192.168.1.109,"37 sources, 3394 packets → 192.168.1.109 in 20 s",Random Forest
2025-08-07 17:07:13,DDoS,207.106.9.199,192.168.1.109,"79 sources, 4334 packets → 192.168.1.109 in 5 s",Linear SVM
2025-08-07 05:36:46,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1864 packets to 192.168.1.109 in 6 s,Random Forest
2025-08-08 16:45:48,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 800 SYN packets in 5 s",Random Forest
2025-08-06 19:09:24,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1623 packets to 192.168.1.109 in 20 s,Random Forest
2025-08-07 15:18:20,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 1054 SYN packets in 8 s",Linear SVM
2025-08-08 07:57:12,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 1279 SYN packets in 8 s",Linear SVM
2025-08-07 12:32:11,DDoS,171.128.117.50,192.168.1.109,"87 sources, 1011 packets → 192.168.1.109 in 18 s",Decision Tree
2025-08-08 13:00:05,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 1493 SYN packets in 6 s",Random Forest
2025-08-08 05:11:15,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1607 packets to 192.168.1.109 in 9 s,Random Forest
2025-08-08 01:17:28,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 1327 SYN packets in 6 s",Random Forest
2025-08-08 04:58:52,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 1202 SYN packets in 2 s",Linear SVM
2025-08-08 17:10:27,DDoS,160.131.131.225,192.168.1.109,"21 sources, 4391 packets → 192.168.1.109 in 7 s",Linear SVM
2025-08-08 17:07:53,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1344 packets to 192.168.1.109 in 14 s,Random Forest
2025-08-08 13:33:29,DDoS,116.17.206.208,192.168.1.109,"96 sources, 2236 packets → 192.168.1.109 in 10 s",Decision Tree
2025-08-07 04:03:45,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 63 ports in 10 s,Decision Tree
2025-08-06 22:52:10,Port Scan,199.41.115.196,192.168.1.109,199.41.115.196 scanned 54 ports in 6 s,Decision Tree
2025-08-07 10:15:22,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 70 ports in 2 s,Linear SVM
2025-08-08 01:03:25,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 859 SYN packets in 10 s",Random Forest
2025-08-07 02:39:21,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 131 ports in 8 s,Decision Tree
2025-08-08 15:18:11,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 1137 SYN packets in 9 s",Random Forest
2025-08-07 09:33:31,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 107 ports in 8 s,Random Forest
2025-08-08 17:54:07,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 695 SYN packets in 7 s",Linear SVM
2025-08-08 07:49:14,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 904 packets to 192.168.1.109 in 20 s,Linear SVM
2025-08-07 12:48:51,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 1302 SYN packets in 8 s",Random Forest
2025-08-07 00:59:24,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1542 packets to 192.168.1.109 in 16 s,Decision Tree
2025-08-07 02:18:38,DDoS,121.40.229.158,192.168.1.109,"67 sources, 2462 packets → 192.168.1.109 in 6 s",Decision Tree
2025-08-08 00:57:57,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 1387 SYN packets in 6 s",Linear SVM
2025-08-07 01:18:37,DDoS,121.40.229.158,192.168.1.109,"59 sources, 3892 packets → 192.168.1.109 in 14 s",Random Forest
2025-08-08 13:09:26,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 68 ports in 1 s,Linear SVM
2025-08-07 22:53:17,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 1659 packets to 192.168.1.109 in 18 s,Linear SVM
2025-08-07 10:30:56,Port Scan,121.40.229.158,192.168.1.109,121.40.229.158 scanned 61 ports in 4 s,Random Forest
2025-08-07 07:08:50,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 1063 packets to 192.168.1.109 in 7 s,Random Forest
2025-08-07 06:33:33,DDoS,171.128.117.50,192.168.1.109,"73 sources, 1355 packets → 192.168.1.109 in 18 s",Decision Tree
2025-08-07 01:38:04,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 614 packets to 192.168.1.109 in 16 s,Linear SVM
2025-08-07 14:12:54,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 795 SYN packets in 10 s",Linear SVM
2025-08-06 22:37:09,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 95 ports in 6 s,Decision Tree
2025-08-08 13:00:27,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 764 SYN packets in 8 s",Linear SVM
2025-08-06 18:49:18,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 87 ports in 1 s,Linear SVM
2025-08-07 22:34:38,DDoS,199.41.115.196,192.168.1.109,"25 sources, 1419 packets → 192.168.1.109 in 18 s",Decision Tree
2025-08-07 10:53:53,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 605 SYN packets in 3 s",Linear SVM
2025-08-08 15:13:22,DDoS,160.131.131.225,192.168.1.109,"95 sources, 3236 packets → 192.168.1.109 in 17 s",Linear SVM
2025-08-08 14:03:04,Port Scan,116.17.206.208,192.168.1.109,116.17.206.208 scanned 138 ports in 3 s,Decision Tree
2025-08-08 06:13:45,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 540 SYN packets in 3 s",Random Forest
2025-08-08 09:51:19,DDoS,116.17.206.208,192.168.1.109,"48 sources, 4968 packets → 192.168.1.109 in 15 s",Linear SVM
2025-08-07 00:13:44,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1802 packets to 192.168.1.109 in 18 s,Decision Tree
2025-08-07 07:28:17,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 667 SYN packets in 7 s",Decision Tree
2025-08-07 13:36:04,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 129 ports in 8 s,Linear SVM
2025-08-07 23:28:28,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 642 packets to 192.168.1.109 in 12 s,Random Forest
2025-08-08 18:27:34,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 850 packets to 192.168.1.109 in 7 s,Random Forest
2025-08-07 01:41:17,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1994 packets to 192.168.1.109 in 15 s,Linear SVM
2025-08-06 21:59:38,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 1112 SYN packets in 7 s",Decision Tree
2025-08-07 09:18:04,DDoS,173.104.27.33,192.168.1.109,"44 sources, 4365 packets → 192.168.1.109 in 9 s",Random Forest
2025-08-07 06:48:53,Port Scan,116.17.206.208,192.168.1.109,116.17.206.208 scanned 102 ports in 3 s,Linear SVM
2025-08-06 19:20:14,Port Scan,121.40.229.158,192.168.1.109,121.40.229.158 scanned 93 ports in 7 s,Random Forest
2025-08-08 00:28:32,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 1466 SYN packets in 8 s",Linear SVM
2025-08-08 02:38:41,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 87 ports in 8 s,Random Forest
2025-08-07 17:18:18,DoS,199.41.115.196,192.168.1.109,199.41.115.196 sent 1851 packets to 192.168.1.109 in 13 s,Random Forest
2025-08-08 14:39:25,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 1239 SYN packets in 4 s",Decision Tree
2025-08-07 10:28:05,Port Scan,116.17.206.208,192.168.1.109,116.17.206.208 scanned 125 ports in 7 s,Linear SVM
2025-08-08 12:59:20,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 1237 packets to 192.168.1.109 in 11 s,Decision Tree
2025-08-07 23:05:30,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 910 packets to 192.168.1.109 in 20 s,Linear SVM
2025-08-08 08:48:53,DDoS,106.238.102.25,192.168.1.109,"26 sources, 4758 packets → 192.168.1.109 in 11 s",Decision Tree
2025-08-07 05:50:10,DDoS,121.40.229.158,192.168.1.109,"45 sources, 3078 packets → 192.168.1.109 in 13 s",Random Forest
2025-08-07 21:46:39,DDoS,173.104.27.33,192.168.1.109,"86 sources, 3957 packets → 192.168.1.109 in 6 s",Linear SVM
2025-08-07 23:12:31,DoS,171.128.117.50,192.168.1.109,171.128.117.50 sent 692 packets to 192.168.1.109 in 20 s,Linear SVM
2025-08-07 05:48:24,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 108 ports in 10 s,Linear SVM
2025-08-07 14:57:22,DDoS,207.106.9.199,192.168.1.109,"49 sources, 4709 packets → 192.168.1.109 in 8 s",Linear SVM
2025-08-08 04:12:48,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 1381 SYN packets in 5 s",Random Forest
2025-08-07 23:34:12,DDoS,199.41.115.196,192.168.1.109,"20 sources, 1058 packets → 192.168.1.109 in 13 s",Random Forest
2025-08-07 11:52:12,DDoS,173.104.27.33,192.168.1.109,"32 sources, 3472 packets → 192.168.1.109 in 12 s",Decision Tree
2025-08-07 08:47:06,DDoS,207.106.9.199,192.168.1.109,"28 sources, 3804 packets → 192.168.1.109 in 10 s",Linear SVM
2025-08-07 01:10:38,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 1178 packets to 192.168.1.109 in 17 s,Decision Tree
2025-08-07 13:59:27,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 882 packets to 192.168.1.109 in 17 s,Linear SVM
2025-08-07 21:23:53,DDoS,199.41.115.196,192.168.1.109,"32 sources, 2300 packets → 192.168.1.109 in 12 s",Decision Tree
2025-08-07 03:29:51,DDoS,102.122.195.70,192.168.1.109,"68 sources, 3015 packets → 192.168.1.109 in 5 s",Random Forest
2025-08-08 11:10:28,DDoS,160.131.131.225,192.168.1.109,"49 sources, 3815 packets → 192.168.1.109 in 15 s",Random Forest
2025-08-07 10:45:37,DDoS,171.128.117.50,192.168.1.109,"84 sources, 3297 packets → 192.168.1.109 in 13 s",Random Forest
2025-08-08 00:47:37,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 144 ports in 3 s,Linear SVM
2025-08-07 04:25:30,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 131 ports in 6 s,Linear SVM
2025-08-07 12:19:34,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 135 ports in 1 s,Decision Tree
2025-08-08 07:57:16,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 1705 packets to 192.168.1.109 in 17 s,Linear SVM
2025-08-08 01:44:10,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 1455 SYN packets in 10 s",Random Forest
2025-08-07 09:46:46,DDoS,160.131.131.225,192.168.1.109,"39 sources, 4120 packets → 192.168.1.109 in 11 s",Linear SVM
2025-08-08 13:43:31,DDoS,160.131.131.225,192.168.1.109,"82 sources, 4574 packets → 192.168.1.109 in 14 s",Linear SVM
2025-08-07 11:47:11,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 92 ports in 9 s,Decision Tree
2025-08-06 23:23:15,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 102 ports in 9 s,Linear SVM
2025-08-07 12:56:22,DDoS,160.131.131.225,192.168.1.109,"82 sources, 4871 packets → 192.168.1.109 in 16 s",Random Forest
2025-08-08 08:41:13,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 116 ports in 2 s,Decision Tree
2025-08-08 05:19:48,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 1305 packets to 192.168.1.109 in 17 s,Random Forest
2025-08-07 02:42:12,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 627 SYN packets in 5 s",Random Forest
2025-08-08 00:52:34,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 50 ports in 4 s,Random Forest
2025-08-06 20:54:47,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 758 SYN packets in 6 s",Random Forest
2025-08-08 01:48:58,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 974 SYN packets in 5 s",Random Forest
2025-08-07 10:12:44,DDoS,202.144.204.132,192.168.1.109,"59 sources, 2829 packets → 192.168.1.109 in 12 s",Random Forest
2025-08-08 02:23:03,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 1414 SYN packets in 10 s",Decision Tree
2025-08-07 12:28:38,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1560 packets to 192.168.1.109 in 8 s,Random Forest
2025-08-06 18:47:28,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 143 ports in 6 s,Random Forest
2025-08-08 03:21:57,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 1184 SYN packets in 2 s",Random Forest
2025-08-08 07:09:10,DoS,173.104.27.33,192.168.1.109,173.104.27.33 sent 1800 packets to 192.168.1.109 in 7 s,Decision Tree
2025-08-07 02:31:06,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 754 packets to 192.168.1.109 in 6 s,Decision Tree
2025-08-08 10:24:04,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 1284 SYN packets in 1 s",Decision Tree
2025-08-06 22:05:28,DDoS,106.238.102.25,192.168.1.109,"45 sources, 3067 packets → 192.168.1.109 in 12 s",Linear SVM
2025-08-08 13:05:50,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 1213 SYN packets in 10 s",Decision Tree
2025-08-06 19:42:15,DDoS,199.41.115.196,192.168.1.109,"40 sources, 1812 packets → 192.168.1.109 in 20 s",Random Forest
2025-08-06 20:19:59,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 1251 packets to 192.168.1.109 in 16 s,Linear SVM
2025-08-08 01:55:09,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1564 packets to 192.168.1.109 in 13 s,Random Forest
2025-08-07 22:47:54,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1478 packets to 192.168.1.109 in 11 s,Random Forest
2025-08-08 02:12:38,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 1201 SYN packets in 3 s",Linear SVM
2025-08-08 08:04:58,DDoS,116.17.206.208,192.168.1.109,"94 sources, 1927 packets → 192.168.1.109 in 13 s",Linear SVM
2025-08-08 07:35:52,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1125 packets to 192.168.1.109 in 14 s,Random Forest
2025-08-07 10:59:50,Port Scan,199.41.115.196,192.168.1.109,199.41.115.196 scanned 140 ports in 3 s,Decision Tree
2025-08-08 03:06:55,Port Scan,121.40.229.158,192.168.1.109,121.40.229.158 scanned 130 ports in 6 s,Random Forest
2025-08-07 15:53:32,DDoS,121.40.229.158,192.168.1.109,"97 sources, 2841 packets → 192.168.1.109 in 5 s",Random Forest
2025-08-08 16:07:59,DDoS,160.131.131.225,192.168.1.109,"97 sources, 1196 packets → 192.168.1.109 in 8 s",Decision Tree
2025-08-08 01:51:17,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 1252 SYN packets in 1 s",Linear SVM
2025-08-07 18:45:03,DDoS,102.122.195.70,192.168.1.109,"57 sources, 3047 packets → 192.168.1.109 in 15 s",Linear SVM
2025-08-07 19:01:40,DoS,173.104.27.33,192.168.1.109,173.104.27.33 sent 1575 packets to 192.168.1.109 in 7 s,Random Forest
